iter	RMSE
0	2528.031689
1	2512.548749
2	2495.717832
3	2477.628123
4	2459.590445
5	2442.000736
6	2427.76239
7	2411.9543
8	2397.728983
9	2382.125883
10	2366.832255
11	2351.098581
12	2336.473136
13	2319.599608
14	2303.905616
15	2289.722604
16	2276.167913
17	2261.33645
18	2247.97447
19	2232.998303
20	2218.190252
21	2205.56309
22	2190.52481
23	2175.516135
24	2161.844612
25	2149.460503
26	2134.922786
27	2121.624644
28	2107.667617
29	2093.331787
30	2079.702711
31	2066.551534
32	2053.748696
33	2041.574754
34	2029.143224
35	2016.048201
36	2004.837037
37	1992.650358
38	1981.722937
39	1969.899172
40	1957.96241
41	1947.14571
42	1934.75877
43	1923.637518
44	1913.204884
45	1901.8727
46	1889.527845
47	1878.370147
48	1869.057738
49	1857.973366
50	1848.205736
51	1838.603691
52	1828.71984
53	1817.844301
54	1808.288162
55	1797.342415
56	1788.022878
57	1777.708044
58	1769.184629
59	1759.383966
60	1749.123126
61	1739.950526
62	1730.405948
63	1720.76559
64	1712.36503
65	1703.668293
66	1694.692601
67	1686.4333
68	1677.737637
69	1670.120547
70	1660.552813
71	1652.698965
72	1643.822923
73	1634.995515
74	1626.06556
75	1619.305816
76	1611.520327
77	1603.78554
78	1596.830014
79	1588.588045
80	1581.938692
81	1574.38401
82	1566.694916
83	1559.080164
84	1551.51376
85	1544.337811
86	1536.524928
87	1528.635411
88	1521.415494
89	1514.775063
90	1507.653117
91	1500.159462
92	1493.302205
93	1486.70868
94	1480.33425
95	1473.597917
96	1467.196803
97	1459.441989
98	1452.783072
99	1446.240521
100	1439.044618
101	1432.688663
102	1426.46287
103	1419.941156
104	1414.106875
105	1407.638616
106	1402.09179
107	1396.483271
108	1390.178019
109	1384.132517
110	1378.240625
111	1372.976516
112	1367.020344
113	1361.500993
114	1356.177184
115	1350.544645
116	1344.89825
117	1339.815228
118	1334.825383
119	1329.529359
120	1323.957612
121	1319.148743
122	1314.413109
123	1309.202559
124	1304.768815
125	1299.608698
126	1294.370862
127	1289.369458
128	1284.822547
129	1279.844903
130	1274.945415
131	1271.147458
132	1266.666518
133	1262.833736
134	1258.274154
135	1253.620718
136	1249.786879
137	1245.617859
138	1241.354744
139	1237.279283
140	1233.132903
141	1229.195308
142	1224.700686
143	1220.15658
144	1215.857963
145	1211.069796
146	1206.923711
147	1203.059665
148	1198.954856
149	1195.38544
150	1191.051689
151	1187.404156
152	1184.438854
153	1180.458757
154	1176.61249
155	1172.929071
156	1168.696578
157	1165.163119
158	1161.405456
159	1158.307393
160	1154.490471
161	1150.560203
162	1146.754451
163	1143.471429
164	1140.006696
165	1136.984332
166	1135.614735
167	1132.58729
168	1130.062698
169	1127.050086
170	1123.843888
171	1121.099625
172	1118.76193
173	1115.889897
174	1113.088726
175	1110.05584
176	1107.707749
177	1104.56219
178	1101.664589
179	1098.495748
180	1095.44011
181	1092.720422
182	1089.578485
183	1086.519166
184	1083.267311
185	1081.055593
186	1078.143027
187	1075.331467
188	1073.282682
189	1070.557411
190	1067.755044
191	1065.743131
192	1063.173769
193	1060.77406
194	1058.368884
195	1056.171973
196	1053.700651
197	1051.445671
198	1049.598232
199	1047.935297
200	1045.63735
201	1043.633971
202	1041.045167
203	1039.35969
204	1037.16559
205	1034.901947
206	1032.773979
207	1030.606142
208	1028.090904
209	1026.151286
210	1024.01938
211	1021.874192
212	1019.920123
213	1018.045589
214	1015.722511
215	1013.756392
216	1012.161945
217	1010.027348
218	1007.810084
219	1005.931763
220	1004.686342
221	1002.776342
222	1000.97077
223	999.3335401
224	997.220898
225	995.9583978
226	994.2999757
227	992.5067601
228	990.7579055
229	989.0236411
230	987.1789534
231	985.0961152
232	983.6688558
233	981.8817075
234	980.6317408
235	978.8740556
236	977.1559059
237	975.7575087
238	973.6228594
239	972.305951
240	971.1928989
241	969.6175504
242	968.2782495
243	966.7510074
244	965.4367575
245	964.0654271
246	962.2904231
247	960.9297103
248	959.3140666
249	958.1412557
250	956.8330147
251	955.4918107
252	954.4086576
253	953.0192371
254	952.0120568
255	950.9367905
256	949.9704663
257	948.1481008
258	946.8742985
259	945.5875209
260	944.207189
261	942.9012041
262	941.8515247
263	940.3824609
264	938.7728508
