iter	Passed	Remaining
0	0	230
1	1	300
2	1	271
3	2	257
4	2	254
5	3	252
6	3	243
7	3	235
8	4	229
9	4	223
10	5	247
11	6	244
12	6	239
13	6	237
14	7	236
15	7	231
16	8	228
17	8	224
18	8	224
19	9	219
20	9	217
21	9	211
22	10	209
23	10	206
24	10	204
25	11	202
26	11	201
27	11	198
28	12	195
29	12	194
30	12	192
31	13	190
32	13	189
33	13	189
34	14	189
35	14	186
36	14	184
37	15	184
38	15	182
39	15	181
40	16	181
41	16	180
42	16	180
43	17	179
44	17	179
45	18	178
46	18	177
47	18	176
48	19	175
49	19	174
50	19	173
51	20	173
52	20	172
53	20	172
54	21	171
55	21	171
56	21	170
57	22	169
58	22	168
59	22	168
60	23	167
61	23	166
62	23	165
63	24	165
64	24	164
65	24	163
66	25	163
67	25	162
68	25	162
69	26	160
70	26	160
71	26	159
72	27	158
73	27	158
74	27	157
75	28	157
76	28	156
77	28	155
78	29	155
79	29	154
80	29	153
81	29	152
82	30	152
83	30	151
84	30	150
85	31	150
86	31	150
87	32	149
88	32	149
89	32	148
90	33	148
91	33	147
92	33	146
93	33	145
94	34	145
95	34	144
96	34	144
97	34	143
98	35	142
99	35	142
100	36	142
101	36	142
102	36	141
103	37	141
104	37	141
105	37	140
106	38	140
107	38	139
108	38	139
109	39	139
110	39	138
111	39	137
112	40	139
113	41	139
114	41	138
115	41	138
116	42	137
117	42	137
118	42	136
119	43	136
120	43	135
121	43	134
122	43	134
123	44	133
124	44	133
125	44	132
126	45	133
127	45	133
128	46	133
129	46	132
130	47	132
131	47	132
132	47	131
133	48	131
134	48	131
135	48	130
136	49	130
137	49	129
138	50	130
139	50	130
140	51	130
141	51	129
142	51	129
143	52	129
144	52	128
145	52	128
146	53	127
147	53	127
148	53	126
149	54	126
150	54	126
151	55	126
152	55	125
153	55	124
154	55	124
155	56	123
156	56	123
157	56	123
158	57	122
159	57	122
160	57	121
161	58	121
162	58	120
163	58	120
164	59	120
165	59	119
166	59	119
167	60	118
168	60	118
169	60	117
170	61	117
171	61	117
172	61	116
173	61	116
174	62	115
175	62	115
176	62	114
177	63	114
178	63	114
179	63	113
180	64	113
181	64	112
182	64	112
183	65	111
184	65	111
185	65	111
186	66	110
187	66	110
188	66	109
189	66	109
190	67	108
191	67	108
192	67	107
193	68	107
194	68	107
195	68	106
196	69	106
197	69	106
198	69	105
199	70	105
200	70	104
201	70	104
202	71	104
203	71	103
204	71	103
205	72	102
206	72	102
207	72	102
208	73	101
209	73	101
210	73	101
211	74	100
212	74	100
213	74	99
214	75	99
215	75	99
216	75	98
217	75	98
218	76	97
219	76	97
220	76	97
221	77	96
222	77	96
223	78	96
224	78	95
225	78	95
226	78	94
227	79	94
228	79	94
229	79	93
230	80	93
231	80	93
232	80	92
233	81	92
234	81	92
235	82	92
236	82	91
237	82	91
238	83	90
239	83	90
240	84	90
241	84	89
242	84	89
243	85	89
244	85	88
245	85	88
246	85	88
247	86	87
248	86	87
249	86	86
250	87	86
251	87	86
252	87	85
253	88	85
254	88	84
255	88	84
256	89	84
257	89	83
258	89	83
259	90	83
260	90	82
261	90	82
262	91	82
263	91	81
264	91	81
265	92	81
266	92	80
267	92	80
268	93	79
269	93	79
270	93	79
271	93	78
272	94	78
273	94	78
274	94	77
275	95	77
276	95	77
277	96	76
278	96	76
279	96	76
280	97	75
281	97	75
282	97	75
283	98	74
284	98	74
285	98	74
286	99	73
287	99	73
288	99	72
289	100	72
290	100	72
291	101	71
292	101	71
293	101	71
294	102	70
295	102	70
296	102	70
297	103	69
298	103	69
299	103	69
300	104	68
301	104	68
302	105	68
303	105	68
304	105	67
305	106	67
306	106	66
307	106	66
308	107	66
309	107	65
310	107	65
311	108	65
312	108	64
313	108	64
314	109	64
315	109	63
316	109	63
317	109	62
318	110	62
319	110	62
320	110	61
321	111	61
322	111	61
323	111	60
324	112	60
325	112	60
326	112	59
327	113	59
328	113	58
329	113	58
330	114	58
331	114	57
332	114	57
333	115	57
334	115	56
335	115	56
336	116	56
337	116	55
338	116	55
339	117	55
340	117	54
341	117	54
342	118	54
343	118	53
