"Date","Weekday","Fuel Type","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland","England
[note 2]","Total"
"2020-01-27T00:00:00.000Z","Monday","Diesel","10581","10827","12687","12897","11910","12221","8290","11143","11141","11176","10967","11339","11300"
"2020-01-28T00:00:00.000Z","Tuesday","Diesel","10420","10856","12658","13230","12388","12959","8433","11616","11496","11278","10975","11644","11570"
"2020-01-29T00:00:00.000Z","Wednesday","Diesel","10441","10788","12799","13242","12045","12705","8458","11530","11395","11127","10932","11557","11484"
"2020-01-30T00:00:00.000Z","Thursday","Diesel","10501","10801","12596","12947","11936","12545","8209","11369","11302","11116","11553","11422","11418"
"2020-01-31T00:00:00.000Z","Friday","Diesel","11513","11065","13003","13560","12210","13105","8629","11946","12066","11863","11879","11923","11917"
"2020-02-01T00:00:00.000Z","Saturday","Diesel","8141","7929","8940","9349","8976","9661","7180","9008","9134","8724","8321","8748","8711"
"2020-02-02T00:00:00.000Z","Sunday","Diesel","7107","6911","7662","7804","7551","7798","5864","7404","7391","7466","7804","7299","7347"
"2020-02-03T00:00:00.000Z","Monday","Diesel","10896","10821","13028","13068","11725","12447","8226","11268","11396","11480","10997","11454","11417"
"2020-02-04T00:00:00.000Z","Tuesday","Diesel","10509","10892","12806","13327","11971","12555","8201","11374","11405","11217","11175","11507","11465"
"2020-02-05T00:00:00.000Z","Wednesday","Diesel","10294","10799","12534","13024","11821","12662","8247","11342","11240","11219","10921","11408","11358"
"2020-02-06T00:00:00.000Z","Thursday","Diesel","10524","10785","12827","13248","11968","12769","8454","11387","11477","11371","11181","11554","11514"
"2020-02-07T00:00:00.000Z","Friday","Diesel","11224","11133","13144","13528","12377","13046","8771","11789","11873","11894","11825","11911","11903"
"2020-02-08T00:00:00.000Z","Saturday","Diesel","8081","7803","8988","9164","8726","9633","7094","8682","8652","8160","7964","8570","8499"
"2020-02-09T00:00:00.000Z","Sunday","Diesel","6221","5881","6357","6368","6466","6450","5093","5990","6049","6014","6898","6089","6153"
"2020-02-10T00:00:00.000Z","Monday","Diesel","11108","11049","13134","13009","12131","12573","8333","11524","11455","11645","10545","11624","11535"
"2020-02-11T00:00:00.000Z","Tuesday","Diesel","10653","10932","13057","13453","12452","12919","8502","11635","11826","11670","10878","11771","11693"
"2020-02-12T00:00:00.000Z","Wednesday","Diesel","10697","10992","13128","13403","12357","13007","8589","11650","11703","11370","11127","11784","11709"
"2020-02-13T00:00:00.000Z","Thursday","Diesel","10822","11018","13038","13402","12217","13103","8598","11806","12038","11701","11314","11848","11797"
"2020-02-14T00:00:00.000Z","Friday","Diesel","11283","11261","13261","13336","12168","13138","8788","11912","11774","11744","11392","11924","11871"
"2020-02-15T00:00:00.000Z","Saturday","Diesel","7476","7339","8400","8413","8028","8718","6753","8047","7655","7590","7673","7899","7865"
"2020-02-16T00:00:00.000Z","Sunday","Diesel","6734","6633","7372","7081","7030","7029","5556","6491","6766","6829","7295","6735","6786"
"2020-02-17T00:00:00.000Z","Monday","Diesel","10427","10715","12899","12866","11737","12440","8319","11130","11523","11157","11145","11383","11352"
"2020-02-18T00:00:00.000Z","Tuesday","Diesel","10221","10619","12469","13099","11784","12376","7961","11144","11331","11035","11370","11283","11278"
"2020-02-19T00:00:00.000Z","Wednesday","Diesel","10247","10552","12645","13087","11965","12487","8090","11165","11517","10968","11314","11365","11342"
"2020-02-20T00:00:00.000Z","Thursday","Diesel","10405","10763","12634","13043","11926","12471","8085","11181","11631","11325","11612","11407","11420"
"2020-02-21T00:00:00.000Z","Friday","Diesel","10938","10808","12886","13182","11994","12839","8419","11530","11928","11716","11720","11648","11657"
"2020-02-22T00:00:00.000Z","Saturday","Diesel","8543","7676","8738","8873","8547","9129","6781","8440","8390","8157","8167","8335","8312"
"2020-02-23T00:00:00.000Z","Sunday","Diesel","7053","6845","7710","7511","7360","7592","5647","7199","7261","7396","7858","7148","7219"
"2020-02-24T00:00:00.000Z","Monday","Diesel","9993","10721","12617","12887","11789","12188","8075","11168","11183","11258","11013","11260","11239"
"2020-02-25T00:00:00.000Z","Tuesday","Diesel","10890","11007","12950","13082","12037","12654","8035","11563","11423","11597","11077","11570","11530"
"2020-02-26T00:00:00.000Z","Wednesday","Diesel","10603","11051","13045","13414","12471","12832","8424","11723","11652","11271","11129","11769","11692"
"2020-02-27T00:00:00.000Z","Thursday","Diesel","10970","11148","13107","13552","12460","12843","8486","11695","11847","11606","11723","11841","11819"
"2020-02-28T00:00:00.000Z","Friday","Diesel","11804","11578","13777","14000","12764","13267","8950","12299","12465","12162","12341","12358","12347"
"2020-02-29T00:00:00.000Z","Saturday","Diesel","8605","8180","9361","9526","9318","9902","7479","9126","9126","8992","8759","8988","8969"
"2020-03-01T00:00:00.000Z","Sunday","Diesel","7417","7297","8302","8278","8201","8349","6245","7921","8132","8266","8004","7825","7860"
"2020-03-02T00:00:00.000Z","Monday","Diesel","11214","11188","13350","13688","12476","12813","8601","11718","12371","12578","11463","11959","11946"
"2020-03-03T00:00:00.000Z","Tuesday","Diesel","10759","10996","12992","13545","12331","12606","8396","11690","12111","11699","11231","11770","11722"
"2020-03-04T00:00:00.000Z","Wednesday","Diesel","10377","10951","12795","13169","11921","12306","8396","11406","11316","10995","11035","11474","11414"
"2020-03-05T00:00:00.000Z","Thursday","Diesel","10821","10806","12820","13511","12359","12787","8499","11670","12520","12186","11500","11800","11793"
"2020-03-06T00:00:00.000Z","Friday","Diesel","11094","11063","13249","13433","12141","12969","8996","12055","11787","11838","11630","11918","11891"
"2020-03-07T00:00:00.000Z","Saturday","Diesel","7800","7658","8865","8997","8457","9231","7084","8602","8307","7797","8046","8376","8320"
"2020-03-08T00:00:00.000Z","Sunday","Diesel","6861","6777","7686","7602","7538","7630","5666","7232","7232","7195","7435","7164","7188"
"2020-03-09T00:00:00.000Z","Monday","Diesel","10424","10567","12678","12918","11655","12307","8249","11213","11386","11086","10911","11314","11270"
"2020-03-10T00:00:00.000Z","Tuesday","Diesel","10477","10738","12760","13274","11828","12483","8147","11294","11256","11229","11101","11416","11381"
"2020-03-11T00:00:00.000Z","Wednesday","Diesel","10415","10494","12749","13309","11736","12586","8212","11262","11309","10920","11154","11388","11346"
"2020-03-12T00:00:00.000Z","Thursday","Diesel","11050","11142","13329","13683","12255","13076","8476","11838","11889","11610","11750","11910","11882"
"2020-03-13T00:00:00.000Z","Friday","Diesel","11669","11279","13286","13457","12353","12992","8696","11807","12009","11968","12033","11964","11970"
"2020-03-14T00:00:00.000Z","Saturday","Diesel","8124","7916","8956","9225","8769","9371","7028","8609","8757","8480","8286","8557","8531"
"2020-03-15T00:00:00.000Z","Sunday","Diesel","7431","7065","8011","7725","7337","7799","5820","7474","7615","7502","7775","7375","7415"
"2020-03-16T00:00:00.000Z","Monday","Diesel","11608","11235","13620","13625","12310","12982","8535","11815","12033","11774","11240","11990","11916"
"2020-03-17T00:00:00.000Z","Tuesday","Diesel","11273","11029","13330","13750","12157","13086","8393","12044","12439","11425","11462","11993","11921"
"2020-03-18T00:00:00.000Z","Wednesday","Diesel","10818","10783","12953","13256","11534","12787","8929","11443","11483","10857","11118","11588","11513"
"2020-03-19T00:00:00.000Z","Thursday","Diesel","11311","11209","13102","13728","12018","13129","9665","11703","11705","11240","11696","11963","11905"
"2020-03-20T00:00:00.000Z","Friday","Diesel","10635","10247","12246","12683","10978","11710","7879","10419","10685","10618","10654","10811","10789"
"2020-03-21T00:00:00.000Z","Saturday","Diesel","7241","6546","7837","7882","7044","7525","5278","6753","6949","7208","6902","6970","6976"
"2020-03-22T00:00:00.000Z","Sunday","Diesel","5062","4632","5481","5295","4835","5096","3553","4591","4836","4920","5196","4793","4832"
"2020-03-23T00:00:00.000Z","Monday","Diesel","9243","8938","11055","11100","9613","10280","6272","9043","9290","9076","9005","9417","9366"
"2020-03-24T00:00:00.000Z","Tuesday","Diesel","6744","6870","8497","9023","7458","8156","4986","7101","7171","6974","6944","7352","7300"
"2020-03-25T00:00:00.000Z","Wednesday","Diesel","5355","5535","7136","7356","6174","6530","3966","5597","5593","5449","5040","5924","5826"
"2020-03-26T00:00:00.000Z","Thursday","Diesel","4944","5173","6670","6919","5725","6027","3645","5198","5143","5075","4583","5502","5404"
"2020-03-27T00:00:00.000Z","Friday","Diesel","4903","5161","6620","6852","5630","6151","3728","5179","5008","5139","4641","5481","5394"
"2020-03-28T00:00:00.000Z","Saturday","Diesel","2639","2685","3317","3498","2982","3310","2401","2875","2711","2817","2621","2942","2909"
"2020-03-29T00:00:00.000Z","Sunday","Diesel","1930","1917","2278","2371","2054","2172","1686","1952","1778","1915","2033","2013","2010"
"2020-03-30T00:00:00.000Z","Monday","Diesel","4328","4497","5706","5849","4816","5205","3425","4447","4303","4405","3888","4732","4646"
"2020-03-31T00:00:00.000Z","Tuesday","Diesel","4274","4526","5734","6056","5064","5419","3412","4635","4449","4451","4170","4860","4782"
"2020-04-01T00:00:00.000Z","Wednesday","Diesel","4231","4579","5654","5877","4967","5347","3465","4573","4326","4536","4166","4800","4734"
"2020-04-02T00:00:00.000Z","Thursday","Diesel","4292","4747","5792","5990","4978","5342","3423","4546","4546","4496","4220","4867","4794"
"2020-04-03T00:00:00.000Z","Friday","Diesel","4595","4699","5619","5862","5004","5439","3529","4587","4576","4760","4317","4880","4826"
"2020-04-04T00:00:00.000Z","Saturday","Diesel","2706","2628","3172","3266","2866","3067","2380","2727","2650","2799","2642","2824","2807"
"2020-04-05T00:00:00.000Z","Sunday","Diesel","2004","1929","2276","2312","2035","2144","1762","1917","1838","2063","2097","2014","2024"
"2020-04-06T00:00:00.000Z","Monday","Diesel","4181","4451","5396","5604","4697","5111","3372","4359","4288","4473","3843","4616","4545"
"2020-04-07T00:00:00.000Z","Tuesday","Diesel","4018","4400","5360","5713","4750","5131","3352","4381","4300","4315","4033","4620","4556"
"2020-04-08T00:00:00.000Z","Wednesday","Diesel","4078","4506","5488","5774","4872","5206","3334","4437","4291","4286","3950","4687","4606"
"2020-04-09T00:00:00.000Z","Thursday","Diesel","4488","5031","5760","6010","4972","5475","3504","4618","4573","4568","4121","4953","4865"
"2020-04-10T00:00:00.000Z","Friday","Diesel","2868","3045","3585","3642","3242","3191","2429","2797","2691","2989","3693","3048","3099"
"2020-04-11T00:00:00.000Z","Saturday","Diesel","2437","2322","2797","2776","2532","2769","2113","2366","2290","2494","2469","2480","2480"
"2020-04-12T00:00:00.000Z","Sunday","Diesel","1390","1407","1606","1518","1443","1424","1318","1267","1139","1285","1793","1380","1410"
"2020-04-13T00:00:00.000Z","Monday","Diesel","2490","2490","2969","2953","2617","2620","2008","2284","2233","2409","2920","2503","2533"
"2020-04-14T00:00:00.000Z","Tuesday","Diesel","4450","4714","5829","5958","4991","5426","3609","4682","4491","4647","4052","4915","4830"
"2020-04-15T00:00:00.000Z","Wednesday","Diesel","4318","4721","5780","5950","5051","5466","3554","4667","4471","4495","4201","4904","4826"
"2020-04-16T00:00:00.000Z","Thursday","Diesel","4477","4691","5868","5894","4933","5416","3527","4693","4504","4514","4317","4898","4831"
"2020-04-17T00:00:00.000Z","Friday","Diesel","4536","4769","5905","5958","5057","5616","3609","4665","4475","4603","4432","4960","4899"
