Date, ULSP:  Pump price (p/litre),ULSP:  Diff on previous WEEK (p/litre), ULSP: Diff on previous  YEAR (p/litre),Duty rate ULSP (p/litre),VAT (% rate) ULSP,ULSD: Pump price (p/litre),ULSD: Diff on previous WEEK (p/litre),ULSD: Diff on previous  YEAR (p/litre),Duty rate ULSD (p/litre),VAT (% rate) ULSD
1/27/2020,127.33,0.2,8.0,57.95,20.00,132.88,0.1,3.8,57.95,20.00
2/3/2020,125.85,-1.5,6.7,57.95,20.00,131.48,-1.4,2.3,57.95,20.00
2/10/2020,124.73,-1.1,5.8,57.95,20.00,129.70,-1.8,0.5,57.95,20.00
2/17/2020,123.80,-0.9,4.7,57.95,20.00,128.20,-1.5,-1.0,57.95,20.00
2/24/2020,123.45,-0.3,4.2,57.95,20.00,127.67,-0.5,-2.0,57.95,20.00
3/2/2020,122.43,-1.0,2.7,57.95,20.00,126.62,-1.1,-3.6,57.95,20.00
3/9/2020,122.24,-0.2,2.1,57.95,20.00,126.25,-0.4,-4.3,57.95,20.00
3/16/2020,120.33,-1.9,-0.1,57.95,20.00,124.36,-1.9,-6.5,57.95,20.00
3/23/2020,119.64,-0.7,-1.2,57.95,20.00,123.41,-1.0,-7.7,57.95,20.00
3/30/2020,112.45,-7.2,-9.3,57.95,20.00,118.60,-4.8,-12.9,57.95,20.00
4/6/2020,110.23,-2.2,-12.4,57.95,20.00,116.83,-1.8,-15.3,57.95,20.00
4/13/2020,109.27,-1.0,-14.8,57.95,20.00,116.15,-0.7,-16.8,57.95,20.00
4/20/2020,108.63,-0.6,-16.8,57.95,20.00,115.73,-0.4,-18.3,57.95,20.00
4/27/2020,107.88,-0.8,-18.5,57.95,20.00,115.22,-0.5,-19.4,57.95,20.00
5/4/2020,107.56,-0.3,-19.9,57.95,20.00,114.94,-0.3,-20.5,57.95,20.00
5/11/2020,107.45,-0.1,-20.5,57.95,20.00,114.83,-0.1,-20.5,57.95,20.00
5/18/2020,105.09,-2.4,-23.4,57.95,20.00,112.22,-2.6,-23.6,57.95,20.00
5/25/2020,104.87,-0.2,-24.3,57.95,20.00,111.70,-0.5,-24.7,57.95,20.00
6/1/2020,105.17,0.3,-24.2,57.95,20.00,111.76,0.1,-24.6,57.95,20.00
6/8/2020,105.74,0.6,-23.1,57.95,20.00,111.98,0.2,-23.4,57.95,20.00
6/15/2020,106.37,0.6,-21.3,57.95,20.00,112.53,0.6,-21.2,57.95,20.00
6/22/2020,107.13,0.8,-19.5,57.95,20.00,112.98,0.4,-18.8,57.95,20.00
6/29/2020,108.31,1.2,-18.2,57.95,20.00,114.10,1.1,-17.5,57.95,20.00
7/6/2020,109.43,1.1,-17.4,57.95,20.00,115.05,0.9,-16.6,57.95,20.00
7/13/2020,111.24,1.8,-15.9,57.95,20.00,116.75,1.7,-15.1,57.95,20.00
7/20/2020,112.23,1.0,-15.6,57.95,20.00,117.35,0.6,-14.9,57.95,20.00
7/27/2020,112.66,0.4,-15.4,57.95,20.00,117.76,0.4,-14.8,57.95,20.00
8/3/2020,112.91,0.3,-15.5,57.95,20.00,117.97,0.2,-14.6,57.95,20.00
8/10/2020,113.02,0.1,-15.3,57.95,20.00,118.01,0.0,-14.6,57.95,20.00
8/17/2020,113.04,0.0,-15.1,57.95,20.00,118.00,0.0,-14.6,57.95,20.00
8/24/2020,113.22,0.2,-15.0,57.95,20.00,118.14,0.1,-14.4,57.95,20.00
8/31/2020,113.29,0.1,-14.6,57.95,20.00,118.18,0.0,-14.1,57.95,20.00
9/7/2020,113.37,0.1,-14.4,57.95,20.00,118.22,0.0,-13.7,57.95,20.00
9/14/2020,113.32,0.0,-13.6,57.95,20.00,118.18,0.0,-13.2,57.95,20.00
9/21/2020,113.31,0.0,-13.5,57.95,20.00,118.16,0.0,-13.4,57.95,20.00
9/28/2020,113.30,0.0,-13.6,57.95,20.00,118.14,0.0,-13.7,57.95,20.00
10/5/2020,113.26,0.0,-13.6,57.95,20.00,118.11,0.0,-13.7,57.95,20.00
10/12/2020,113.19,-0.1,-13.7,57.95,20.00,118.05,-0.1,-13.8,57.95,20.00
10/19/2020,113.18,0.0,-13.2,57.95,20.00,118.08,0.0,-13.2,57.95,20.00
10/26/2020,113.14,0.0,-12.6,57.95,20.00,118.08,0.0,-12.5,57.95,20.00
11/2/2020,113.11,0.0,-12.5,57.95,20.00,118.06,0.0,-12.3,57.95,20.00
11/9/2020,112.50,-0.6,-13.1,57.95,20.00,117.28,-0.8,-13.1,57.95,20.00
11/16/2020,112.35,-0.2,-13.2,57.95,20.00,117.07,-0.2,-13.3,57.95,20.00
11/23/2020,112.42,0.1,-12.9,57.95,20.00,117.13,0.1,-12.9,57.95,20.00
11/30/2020,112.61,0.2,-12.2,57.95,20.00,117.41,0.3,-12.4,57.95,20.00
12/7/2020,113.17,0.6,-11.6,57.95,20.00,117.99,0.6,-11.8,57.95,20.00
