Date,Petrol Price,Diesel Price
2020-01-27,127.33,132.88
2020-01-28,127.33,132.88
2020-01-29,127.33,132.88
2020-01-30,127.33,132.88
2020-01-31,127.33,132.88
2020-02-01,127.33,132.88
2020-02-02,127.33,132.88
2020-02-03,125.85,131.48
2020-02-04,125.85,131.48
2020-02-05,125.85,131.48
2020-02-06,125.85,131.48
2020-02-07,125.85,131.48
2020-02-08,125.85,131.48
2020-02-09,125.85,131.48
2020-02-10,124.73,129.7
2020-02-11,124.73,129.7
2020-02-12,124.73,129.7
2020-02-13,124.73,129.7
2020-02-14,124.73,129.7
2020-02-15,124.73,129.7
2020-02-16,124.73,129.7
2020-02-17,123.8,128.2
2020-02-18,123.8,128.2
2020-02-19,123.8,128.2
2020-02-20,123.8,128.2
2020-02-21,123.8,128.2
2020-02-22,123.8,128.2
2020-02-23,123.8,128.2
2020-02-24,123.45,127.67
2020-02-25,123.45,127.67
2020-02-26,123.45,127.67
2020-02-27,123.45,127.67
2020-02-28,123.45,127.67
2020-02-29,123.45,127.67
2020-03-01,123.45,127.67
2020-03-02,122.43,126.62
2020-03-03,122.43,126.62
2020-03-04,122.43,126.62
2020-03-05,122.43,126.62
2020-03-06,122.43,126.62
2020-03-07,122.43,126.62
2020-03-08,122.43,126.62
2020-03-09,122.24,126.25
2020-03-10,122.24,126.25
2020-03-11,122.24,126.25
2020-03-12,122.24,126.25
2020-03-13,122.24,126.25
2020-03-14,122.24,126.25
2020-03-15,122.24,126.25
2020-03-16,120.33,124.36
2020-03-17,120.33,124.36
2020-03-18,120.33,124.36
2020-03-19,120.33,124.36
2020-03-20,120.33,124.36
2020-03-21,120.33,124.36
2020-03-22,120.33,124.36
2020-03-23,119.64,123.41
2020-03-24,119.64,123.41
2020-03-25,119.64,123.41
2020-03-26,119.64,123.41
2020-03-27,119.64,123.41
2020-03-28,119.64,123.41
2020-03-29,119.64,123.41
2020-03-30,112.45,118.6
2020-03-31,112.45,118.6
2020-04-01,112.45,118.6
2020-04-02,112.45,118.6
2020-04-03,112.45,118.6
2020-04-04,112.45,118.6
2020-04-05,112.45,118.6
2020-04-06,110.23,116.83
2020-04-07,110.23,116.83
2020-04-08,110.23,116.83
2020-04-09,110.23,116.83
2020-04-10,110.23,116.83
2020-04-11,110.23,116.83
2020-04-12,110.23,116.83
2020-04-13,109.27,116.15
2020-04-14,109.27,116.15
2020-04-15,109.27,116.15
2020-04-16,109.27,116.15
2020-04-17,109.27,116.15
2020-04-18,109.27,116.15
2020-04-19,109.27,116.15
2020-04-20,108.63,115.73
2020-04-21,108.63,115.73
2020-04-22,108.63,115.73
2020-04-23,108.63,115.73
2020-04-24,108.63,115.73
2020-04-25,108.63,115.73
2020-04-26,108.63,115.73
2020-04-27,107.88,115.22
2020-04-28,107.88,115.22
2020-04-29,107.88,115.22
2020-04-30,107.88,115.22
2020-05-01,107.88,115.22
2020-05-02,107.88,115.22
2020-05-03,107.88,115.22
2020-05-04,107.56,114.94
2020-05-05,107.56,114.94
2020-05-06,107.56,114.94
2020-05-07,107.56,114.94
2020-05-08,107.56,114.94
2020-05-09,107.56,114.94
2020-05-10,107.56,114.94
2020-05-11,107.45,114.83
2020-05-12,107.45,114.83
2020-05-13,107.45,114.83
2020-05-14,107.45,114.83
2020-05-15,107.45,114.83
2020-05-16,107.45,114.83
2020-05-17,107.45,114.83
2020-05-18,105.09,112.22
2020-05-19,105.09,112.22
2020-05-20,105.09,112.22
2020-05-21,105.09,112.22
2020-05-22,105.09,112.22
2020-05-23,105.09,112.22
2020-05-24,105.09,112.22
2020-05-25,104.87,111.7
2020-05-26,104.87,111.7
2020-05-27,104.87,111.7
2020-05-28,104.87,111.7
2020-05-29,104.87,111.7
2020-05-30,104.87,111.7
2020-05-31,104.87,111.7
2020-06-01,105.17,111.76
2020-06-02,105.17,111.76
2020-06-03,105.17,111.76
2020-06-04,105.17,111.76
2020-06-05,105.17,111.76
2020-06-06,105.17,111.76
2020-06-07,105.17,111.76
2020-06-08,105.74,111.98
2020-06-09,105.74,111.98
2020-06-10,105.74,111.98
2020-06-11,105.74,111.98
2020-06-12,105.74,111.98
2020-06-13,105.74,111.98
2020-06-14,105.74,111.98
2020-06-15,106.37,112.53
2020-06-16,106.37,112.53
2020-06-17,106.37,112.53
2020-06-18,106.37,112.53
2020-06-19,106.37,112.53
2020-06-20,106.37,112.53
2020-06-21,106.37,112.53
2020-06-22,107.13,112.98
2020-06-23,107.13,112.98
2020-06-24,107.13,112.98
2020-06-25,107.13,112.98
2020-06-26,107.13,112.98
2020-06-27,107.13,112.98
2020-06-28,107.13,112.98
2020-06-29,108.31,114.1
2020-06-30,108.31,114.1
2020-07-01,108.31,114.1
2020-07-02,108.31,114.1
2020-07-03,108.31,114.1
2020-07-04,108.31,114.1
2020-07-05,108.31,114.1
2020-07-06,109.43,115.05
2020-07-07,109.43,115.05
2020-07-08,109.43,115.05
2020-07-09,109.43,115.05
2020-07-10,109.43,115.05
2020-07-11,109.43,115.05
2020-07-12,109.43,115.05
2020-07-13,111.24,116.75
2020-07-14,111.24,116.75
2020-07-15,111.24,116.75
2020-07-16,111.24,116.75
2020-07-17,111.24,116.75
2020-07-18,111.24,116.75
2020-07-19,111.24,116.75
2020-07-20,112.23,117.35
2020-07-21,112.23,117.35
2020-07-22,112.23,117.35
2020-07-23,112.23,117.35
2020-07-24,112.23,117.35
2020-07-25,112.23,117.35
2020-07-26,112.23,117.35
2020-07-27,112.66,117.76
2020-07-28,112.66,117.76
2020-07-29,112.66,117.76
2020-07-30,112.66,117.76
2020-07-31,112.66,117.76
2020-08-01,112.66,117.76
2020-08-02,112.66,117.76
2020-08-03,112.91,117.97
2020-08-04,112.91,117.97
2020-08-05,112.91,117.97
2020-08-06,112.91,117.97
2020-08-07,112.91,117.97
2020-08-08,112.91,117.97
2020-08-09,112.91,117.97
2020-08-10,113.02,118.01
2020-08-11,113.02,118.01
2020-08-12,113.02,118.01
2020-08-13,113.02,118.01
2020-08-14,113.02,118.01
2020-08-15,113.02,118.01
2020-08-16,113.02,118.01
2020-08-17,113.04,118.0
2020-08-18,113.04,118.0
2020-08-19,113.04,118.0
2020-08-20,113.04,118.0
2020-08-21,113.04,118.0
2020-08-22,113.04,118.0
2020-08-23,113.04,118.0
2020-08-24,113.22,118.14
2020-08-25,113.22,118.14
2020-08-26,113.22,118.14
2020-08-27,113.22,118.14
2020-08-28,113.22,118.14
2020-08-29,113.22,118.14
2020-08-30,113.22,118.14
2020-08-31,113.29,118.18
2020-09-01,113.29,118.18
2020-09-02,113.29,118.18
2020-09-03,113.29,118.18
2020-09-04,113.29,118.18
2020-09-05,113.29,118.18
2020-09-06,113.29,118.18
2020-09-07,113.37,118.22
2020-09-08,113.37,118.22
2020-09-09,113.37,118.22
2020-09-10,113.37,118.22
2020-09-11,113.37,118.22
2020-09-12,113.37,118.22
2020-09-13,113.37,118.22
2020-09-14,113.32,118.18
2020-09-15,113.32,118.18
2020-09-16,113.32,118.18
2020-09-17,113.32,118.18
2020-09-18,113.32,118.18
2020-09-19,113.32,118.18
2020-09-20,113.32,118.18
2020-09-21,113.31,118.16
2020-09-22,113.31,118.16
2020-09-23,113.31,118.16
2020-09-24,113.31,118.16
2020-09-25,113.31,118.16
2020-09-26,113.31,118.16
2020-09-27,113.31,118.16
2020-09-28,113.3,118.14
2020-09-29,113.3,118.14
2020-09-30,113.3,118.14
2020-10-01,113.3,118.14
2020-10-02,113.3,118.14
2020-10-03,113.3,118.14
2020-10-04,113.3,118.14
2020-10-05,113.26,118.11
2020-10-06,113.26,118.11
2020-10-07,113.26,118.11
2020-10-08,113.26,118.11
2020-10-09,113.26,118.11
2020-10-10,113.26,118.11
2020-10-11,113.26,118.11
2020-10-12,113.19,118.05
2020-10-13,113.19,118.05
